,name,arc140,arc141,arc142,arc143,arc144,arc145,arc146,arc147,arc148,arc149,arc150,arc151,arc152,arc153,arc154,arc155,arc156,arc157,arc158,arc159,arc160,arc161
0,uwi,0,,,0,0,0,-40,-39,-6,61,17,-17,,-10,,,,56,50,,,
1,vwxyz,-5,48,-53,-7,3,9,-64,56,12,98,,0,,-3,0,50,-14,9,95,20,-53,0
2,fuppy0716,35,-31,27,7,0,16,-4,-23,-35,,,12,-32,0,-53,-17,3,,97,23,7,10
3,hhoppitree,,,,,,,,,,,,109,,0,,0,,,166,-4,0,-35
4,Forested,29,4,7,-17,0,5,17,43,24,19,-18,64,60,7,2,23,18,2,46,-2,-18,-58
5,KumaTachiRen,4,6,-17,-5,57,34,31,15,3,-29,-16,22,106,-6,101,3,40,-21,77,29,28,-55
6,soryuusi0219,,,,,0,48,,-28,34,,0,48,,9,122,-19,-10,-43,72,-37,,
7,suisen,75,-5,-33,22,19,-25,12,41,0,-8,16,16,-45,-61,43,68,18,-19,55,-18,33,-3
8,haruki_K,37,47,1,-32,23,18,71,5,-26,-21,-8,23,17,40,-23,27,,-25,59,-42,24,-25
9,sotanishy,-38,-35,26,-51,8,50,,-2,-41,-3,16,13,44,,60,13,1,,47,-24,3,
10,zkou,0,14,-24,4,48,-10,72,17,5,4,-29,27,-10,16,5,18,-28,3,45,-40,,11
11,karinohito,15,18,-31,-18,-10,63,10,30,37,35,-14,19,45,6,-39,62,-8,14,78,24,-1,116
12,MtSaka,-62,-2,,-56,-30,4,0,-9,0,,,-7,-33,32,-34,14,-6,-13,92,18,,117
13,TKTYI,-10,33,5,26,-8,78,72,12,89,-15,10,-16,3,-13,-20,61,102,14,15,35,51,16
14,shiomusubi496,153,38,-10,-17,42,54,-10,0,9,82,-18,-23,6,0,7,109,42,32,11,-1,9,11
15,rin204,42,63,-33,5,0,74,-4,-4,40,-57,75,10,51,-25,57,50,27,-9,-11,52,0,0
16,satashun,,,,,,0,,,,,,,,,,,19,,-13,,,
17,Cyanmond,-67,70,28,12,2,39,18,58,-23,-11,156,-9,-27,-44,27,71,-31,1,39,-19,5,-47
18,sumitacchan,0,0,0,0,0,,0,0,0,0,0,0,,-11,14,-26,2,57,-9,13,,-44
19,Kiri8128,43,54,37,-32,4,-20,22,-31,,-17,-58,15,30,-12,-70,0,-9,-30,32,25,28,-55
20,carrot46,-14,7,20,7,14,-17,,-4,6,-18,12,,,-5,,,19,-14,13,19,19,91
