,name,arc140,arc141,arc142,arc143,arc144,arc145,arc146,arc147,arc148,arc149,arc150,arc151,arc152,arc153,arc154,arc155,arc156,arc157,arc158,arc159,arc160,arc161
21,kmjp,-17,-11,-80,24,10,,-31,-14,4,33,55,14,56,-6,-41,61,-2,-3,-10,-27,,-64
22,kozyy,-8,24,0,1,20,,47,42,40,7,32,,9,-11,-45,-17,-41,-8,42,17,,0
23,ytqm3,49,1,,-37,-100,,,,,,,,0,,-90,149,116,-20,59,110,56,22
24,sqrt_3,,,,,,,,,,,,,,,,,-23,80,76,,,-21
25,KowerKoint,2,-15,-27,20,-59,26,16,,,-60,-1,14,36,12,14,55,3,-53,53,-22,,87
26,Kite_kuma,42,-11,11,5,73,39,-21,36,58,-54,12,14,-9,-24,-14,-38,21,-2,-12,45,-61,20
27,sugarrr,5,-20,-25,-3,-8,19,-62,46,-19,41,49,-35,0,-32,-39,,0,-28,5,-47,,-40
28,leaf1415,10,0,-13,14,-19,-32,11,50,-38,-77,-24,,72,-46,31,-30,34,49,-9,54,42,-5
29,okkuu2,-38,5,46,-55,84,30,14,34,45,,13,64,48,-1,,40,25,,15,-32,0,39
30,anmichi,2,8,31,13,-21,0,-5,-38,-7,42,-9,-35,,,,-8,-5,-14,38,,,-1
31,tokusakurai,-13,4,-22,-1,34,-17,-4,-6,2,-8,18,25,5,36,-12,-32,-22,16,-16,71,4,5
32,Tomii9273,,,,-21,14,4,,,,,-18,-5,,,,,,-30,52,-32,,
33,eijirou,17,-12,2,4,2,55,-15,-4,19,8,-35,9,3,-41,20,115,-18,-34,48,-22,-23,57
34,ttttan,17,11,53,-10,21,-22,33,32,46,11,-37,-51,94,-5,46,-18,-10,-17,-9,-27,28,7
35,simasima,,,,,,,,,,,,,,,,,,,-14,-17,-11,
36,jin_matakich,,,,,,,,,-42,-21,-32,-96,-3,16,62,13,-46,,47,-14,-19,-35
37,FUN_Morikubo,,,51,50,62,-64,138,23,23,27,41,41,47,-46,46,43,11,39,61,53,-16,5
38,tamato,-32,64,1,-42,48,-11,-2,-48,13,-13,53,-44,-8,,,20,-25,-34,16,23,25,-10
39,AngrySadEight,,-2,-40,-20,78,49,,3,-45,,,-35,0,-10,17,13,-26,-61,57,21,-5,0
40,milkcoffee,10,,2,0,-37,-25,-2,-39,,,27,0,0,,0,,-17,-28,51,,,
41,Shun_PI,-7,34,19,13,-5,,-11,3,-38,34,6,-26,7,,-5,-8,34,,-3,32,-6,-59
42,rniya,25,16,-3,42,17,16,10,-60,88,-49,43,-18,-11,-4,-1,27,-31,21,-7,-7,59,21
43,mjtai,47,7,23,-37,44,-21,20,-34,41,-16,53,5,-24,-17,-8,-36,31,0,37,37,12,-49
44,ngtkana,73,,,,,,,,,,,,,,,,2,,5,-65,,
45,toam,-20,-18,-40,15,13,72,2,-27,52,47,-40,-19,-73,1,3,21,-15,-51,6,56,41,
46,shobonvip,-29,31,-29,-35,101,-30,37,,-31,-38,-25,-18,-18,-18,-13,59,-7,42,27,-24,46,4
47,akua,36,1,-28,56,0,,,,-24,0,26,20,-28,-71,4,-5,-36,10,62,30,10,42
48,tassei903,4,15,-19,,-43,,-67,,25,,,,,4,,,-9,,39,2,,-21
49,Kude,38,8,17,-8,19,19,-21,6,-29,123,-29,11,100,18,11,-16,-1,28,-20,-31,9,-49
50,Raven7959,119,,-51,13,-4,16,-2,76,-48,86,-17,,22,,,,0,4,26,,,
51,se1ka2,-29,18,45,59,,57,-28,-12,-18,-9,-13,-17,-21,7,62,-13,-33,-4,-21,2,-37,-29
52,ecottea,92,-29,11,39,-18,23,35,66,-17,22,83,6,4,-1,-29,3,-13,-2,-4,-17,-14,4
53,Haa,,,73,28,6,0,-11,-13,68,16,-22,,-64,18,-8,7,-23,19,7,-30,-35,3
54,riano_,1,42,-32,26,36,11,-8,23,43,-20,-3,-42,,,-36,36,,,-24,28,,3
55,Series_205,,,,,,,,,,,,,,,,,,,12,-11,-22,
56,Yukkku,,,,,90,-5,7,-51,173,,10,,,28,0,,-15,33,87,-17,0,48
57,kaikey,-15,0,-20,,-52,,-28,12,-20,-2,-21,-12,-12,-9,2,28,0,14,23,-20,-33,-32
58,yuma220284,,,,,,,,,,,,,,,,,,,23,,,
59,kento_maeda,-31,,,5,51,,-79,7,0,-29,-23,,,55,-2,38,9,-3,16,-31,-25,
60,MMNMM,,32,-21,,12,5,0,,37,-14,-45,-43,9,,13,40,12,-15,-15,0,5,17
61,natsuneko,13,2,16,2,9,87,,-19,41,35,27,6,30,3,-48,44,27,50,72,-1,-4,78
62,Alt3,-23,4,0,32,25,7,46,-41,-59,-33,158,10,-42,-46,-30,0,0,,9,-10,-24,13
63,neterukun,,,,,,20,22,15,-5,,,,,,,,,-34,21,,-18,
64,tada72,-24,74,-10,-20,-4,-22,30,-5,-21,35,-39,-40,-10,-42,-70,2,17,-16,24,,-26,-28
65,imabc,,,,,,,,,,,,,,,,,229,18,258,10,-23,-21
66,noya2,9,10,-23,-30,-45,6,-25,-45,-30,26,39,60,-13,5,-42,-31,-7,64,14,-4,-37,1
67,namineko0606,,,,,,,,,,,166,41,-8,4,31,56,-7,-72,76,-39,0,35
68,S_shun,-4,37,34,-15,-12,4,86,-39,-15,33,28,-13,-12,12,-29,-23,13,22,37,38,0,
69,tatata96,-83,-18,59,20,-56,-37,37,16,19,-32,10,-32,31,-24,-64,-23,-4,22,38,-7,-18,2
70,CheckMate,,,,,,,,,,,,,,,,,4,20,7,14,,
71,shakayami,,,,,-48,,,,,,,0,,,-47,5,-23,30,18,-11,,-38
72,googol_S0,-30,2,54,-6,-2,70,-38,-33,-3,41,-4,7,,12,50,-3,-10,41,-42,-13,29,24
73,fumofumofuni,,,-21,2,10,15,,32,102,,48,,,,,,,,-1,13,,
74,ynymxiaolongbao,-57,-79,70,-55,,,,22,,-66,-37,-27,,,,,,58,5,96,,
75,tofudra,,,,18,84,0,-4,-18,99,35,-8,37,176,,,66,22,64,14,47,72,-30
76,baLoon,13,-14,,-9,42,-12,-28,,104,-19,46,18,36,,,,15,-2,-7,-43,-27,-32
77,kumjin3141,2,,-49,,0,,,-20,0,-27,18,14,-6,-6,0,0,-20,41,14,-17,5,49
78,untiunti,61,160,-13,-2,70,-7,46,-10,,-44,-44,-30,-6,58,,-2,11,38,7,,,
79,yuusanlondon,77,-3,45,-24,0,,,,,20,-35,-26,,-4,,,16,,-3,27,-20,-18
80,shun0923,0,,,,,,-47,-46,15,0,42,-37,,,,,,62,-6,-27,,
81,Dispersion,-31,-32,-9,49,13,-14,-16,40,9,19,-95,-28,-5,11,-11,7,-11,-43,16,-34,-16,12
82,pointN,0,-22,30,,-63,-3,,,-13,,,-39,28,,,,0,10,12,-45,,8
83,woodywoody,-11,-9,23,-27,26,-68,-20,-33,14,29,-17,-1,-47,43,,-29,31,64,7,-7,25,30
84,auaua,0,63,-7,55,-74,,,17,-1,-26,-9,-7,31,-30,50,61,4,-64,10,-14,-16,10
85,pachicobue,,,0,,,,15,-5,0,,,,,,,,,27,-8,,,
86,komite,-25,3,-32,5,-27,-8,-10,-57,,,-23,-28,-44,-18,-34,14,16,10,33,44,-46,7
87,w2w2,9,11,-33,3,1,-28,-2,-3,-8,27,-4,35,15,41,46,10,31,,-7,-18,-28,38
88,catupper,-13,-25,-40,,6,-17,69,-10,-23,,-5,23,,-27,,13,,,-46,,,
89,shino16,-15,-11,22,-1,-25,,-14,32,34,,-2,7,-22,,8,55,-27,,-4,-16,7,-35
90,siganai,57,77,3,26,21,91,-36,-22,18,-12,30,-1,4,-16,150,0,9,12,-13,32,26,-54
91,chro4896,1,81,29,59,40,14,-3,-19,35,20,0,19,19,-23,13,51,7,49,0,-23,16,39
92,satanic0258,-4,23,-42,19,7,5,-38,-52,-46,3,-11,-8,13,46,19,-19,-11,92,-13,-12,34,31
93,udon1206,,23,-44,-34,-1,63,-36,34,-98,,12,-55,-51,,-32,-29,55,30,9,0,31,18
94,nyoguta,,,,134,51,192,18,,46,,,,,,,,15,,9,-8,-40,17
95,goingdown,,,,,,,0,280,,,137,100,69,,,,,,-14,,,
96,gyouzasushi,6,1,-15,-55,-14,,4,-18,,-49,-16,-10,29,-26,-20,-11,43,-81,15,18,-27,8
97,ynasu,6,-19,-42,-6,-12,-1,5,,46,97,8,-5,31,-7,3,-36,1,28,-18,-37,-3,-9
98,emthrm,16,27,-16,97,-21,-28,-20,-11,22,-4,,-28,-20,-12,18,40,9,-18,-35,1,77,-19
99,keisuke6,-14,-28,8,-7,36,16,5,-22,24,0,7,36,0,,-7,24,19,,31,-39,-12,12
100,gksato,,20,4,19,26,-14,49,-50,13,-9,-34,55,47,24,71,-42,-28,4,7,0,-11,16
101,shirowa,,,,5,-30,,-52,23,-5,-17,,,14,-12,-25,1,-28,-13,4,-8,-44,-33
102,ytkn,21,6,-22,-2,-7,-9,19,21,-26,38,44,-15,1,72,15,-51,55,-2,-23,29,-16,-6
103,takekinmkk,27,-23,,,,,,,,,,,-22,,,,-13,,43,0,,
104,Chippppp,13,-15,-3,19,-14,-9,-34,49,45,-7,,,,-58,-46,,-6,-28,50,-89,,-64
105,yurujirou,,,,,,,,8,-27,-39,9,24,-66,27,13,-5,-15,-38,20,-22,-90,19
106,hamo21,,38,25,37,20,12,,13,,-35,-3,-4,36,55,-20,,22,-30,35,-2,,-10
107,Yu_212,28,1,0,-11,0,0,-26,0,,15,,,,-14,76,0,,0,-23,41,-10,-41
108,OtoriEmu,,,,,,,,,,1041,,0,,,0,-13,,,28,,,
109,rusa,,,,,,,,,,,,0,,,,,,,-5,,,
110,HBit,-3,14,2,-6,6,6,5,0,45,-6,17,23,56,-2,22,8,13,56,-22,12,54,17
111,shauuebbit,9,18,-29,22,18,25,8,5,43,-33,-36,-41,70,2,60,-25,-25,30,23,27,,-22
112,hiikunZ,4,13,-19,-86,-18,5,98,6,4,-6,-2,-9,-64,-33,-17,-13,9,9,-8,31,15,-5
113,nuts,3,-46,20,1,-20,-30,-9,22,7,21,-35,-98,50,-8,5,1,8,-18,33,-6,-24,5
114,ill,35,10,,,,25,-24,,-37,,,-4,,28,-8,-22,8,19,47,,,
115,ransewhale,30,36,-15,0,59,0,,-39,-10,-12,4,1,-7,-1,-32,27,-27,4,-1,16,1,15
116,yfuka86,16,0,,-17,61,-4,0,-32,-15,20,35,-51,3,-48,35,-18,-18,4,5,58,-35,-24
117,physics0523,1,-24,7,22,58,,-16,-10,-2,2,18,-56,-18,2,64,26,-32,6,-42,17,13,91
118,wasd314,-5,-12,-12,-62,-24,-18,-37,-18,-11,-29,-30,13,1,-36,-12,29,-28,-83,5,-18,47,-64
119,sounansya,-1,,35,-27,-40,14,24,19,4,36,,1,-73,59,-10,,42,34,-13,,-46,33
120,HoyHoyCharhang,,,,,,,-20,-31,-27,90,13,0,0,,,,,-35,8,-3,-91,
121,first_vil,8,-17,-4,-75,,,-18,0,-17,,-1,,-38,0,,-7,0,14,13,-8,0,
122,terry_u16,-6,,55,19,-27,-37,-16,-5,8,-47,-47,-30,,-29,-1,-42,-4,,2,63,14,2
123,cled0328,,,,,,,,,,,,,304,168,-41,91,2,66,59,-42,-2,-25
124,Navier_Boltzmann,16,44,24,0,-21,0,,-51,-18,9,-36,-37,-33,,2,31,-9,,21,-2,,-39
125,gmmtea,-27,-52,24,-36,49,,-36,-31,,68,22,-36,117,-32,0,-19,-26,6,55,19,,30
126,soraie,,0,,,,,,,,,,,,-7,-5,-10,-14,0,1,-19,,
127,katand,8,-5,-8,46,32,4,25,24,-67,92,-17,-3,11,-20,21,29,16,-41,0,-9,,-47
128,SchwarzeKatze9,,,,,,,,124,166,67,,50,40,118,16,62,-4,,77,,,59
129,QuickSelector,,,,,,,,,,,,,,152,50,64,48,109,118,30,-6,-36
130,titia,-19,-6,43,-23,-35,-21,-27,,20,-49,-18,-56,0,-26,-3,-3,6,,1,7,-51,0
131,Flkanjin,-43,,,-52,10,0,-22,-21,0,-14,-4,-14,,-24,-32,9,-17,9,34,4,,-30
132,firiexp,-11,-2,,-58,-40,-76,-14,,24,-5,-5,30,-62,-18,4,0,-2,0,-2,52,-11,-37
133,routea,,,,,,,,,,,89,-5,,22,-11,,27,2,-12,45,-21,24
134,misorin,17,9,15,-9,16,13,0,-47,61,22,-11,-33,96,-40,79,13,34,-42,-17,-3,6,-39
135,emankcin,11,2,87,31,28,48,-46,16,27,-21,23,-14,40,11,-53,15,4,22,23,-26,-34,54
136,Henmi,,,,,,-105,,,,,58,9,-13,27,-22,,-11,51,48,,,
137,confeito,,,,,,,,0,,,,31,,,,,,,-2,26,,
138,mikake,-51,0,39,-5,,52,23,-38,81,-63,,,104,4,28,-1,-36,-48,-21,,-48,-58
139,Daylight,,,,,-33,0,,23,-18,-9,7,1,-25,,-27,0,,30,12,-20,32,-22
140,Trineutron,,-33,,-14,74,,12,,,-47,-39,116,,,,,,,-44,-39,,
141,hahho,,-11,21,-43,29,,-1,,-32,-9,5,59,45,,67,35,9,,-25,,,-32
142,p2mitanai,34,10,0,,0,0,,,,,,,,,,,6,12,-5,27,54,-13
143,Polina,0,-7,-12,35,48,74,,,,-3,-21,-11,,91,4,1,-7,-12,19,15,,-34
144,smiken,,,,,,,,,,,,,-32,32,-32,,5,,-58,8,,
145,mamejika,-21,35,46,-14,-14,-14,18,23,21,66,-28,-48,17,,47,-78,30,-20,45,-12,-25,-32
146,Kiterai,-26,,,,,,,,,,,,,3,30,17,-12,36,5,-4,-48,-18
147,TAB,,-19,-39,-73,54,-12,12,12,60,-19,9,-24,79,-32,-38,3,7,-69,-11,-45,0,29
148,mathyuuugo,,-65,,39,12,119,-31,2,-31,40,-11,-10,68,-11,14,13,23,1,41,19,14,-39
149,ymtz03,13,-28,43,-7,-4,-48,-23,-20,26,38,-30,-33,28,-12,19,19,9,-41,18,12,26,-12
150,GoldIngot,,,,24,-8,111,8,0,-34,26,38,25,-7,-2,-15,-1,-25,20,-7,-16,-10,2
151,tkg06269476,,,,-11,,,,-34,-30,,9,,,,,,,,38,,,
152,TakaakiUmedu,24,-23,-32,-31,24,-45,40,7,7,-16,-16,-36,-16,46,21,-80,-13,2,33,-6,-33,
153,ebi_fly,-31,6,-17,10,,,,,,,,,,,,,41,1,-13,-48,23,-40
154,kencho,,-23,-27,-5,,,24,-41,,,,,,0,,,,12,-24,,,
155,kwm_t,,13,-24,-33,-43,17,-11,-32,-41,-44,56,-18,-15,-46,0,12,-35,-10,-4,-36,-8,-26
156,toshihoge,52,3,39,-18,85,-16,-14,-4,-24,-10,-15,-19,-51,13,-2,1,0,-43,-6,-8,-8,12
157,boatmuscles,,-6,25,,-18,,98,-37,-42,,-14,,-37,,,-23,,64,25,,,
158,nesya,-5,-47,9,23,3,66,6,0,0,76,-4,-22,11,13,32,44,-32,-33,-29,-19,6,-6
159,mirrorrabbit,,,,,,17,,62,62,-36,-14,8,,48,,,23,-31,34,42,,
160,merom686,-18,-19,-5,,5,-6,4,45,5,-9,18,12,35,0,55,13,-15,19,-18,-59,-22,-7
161,mban,-27,,7,-23,-28,-34,29,,,-39,-51,13,-9,22,,-49,1,-46,-11,-10,,-25
162,shell_wataru,-8,-24,-15,19,-12,,-8,-1,-67,-1,-28,21,-7,-29,37,7,43,,-6,-21,-2,-14
163,chinerist,5,,-47,70,43,-53,83,-20,72,-6,,55,-27,62,-12,,,61,-63,26,0,-2
164,ZollingerPython3,20,-30,-35,-43,-14,-15,28,-54,-28,5,7,-25,-28,-14,7,27,5,-42,16,-15,-18,11
165,stoq,0,,,-16,,11,,0,-17,,,,0,-27,0,75,-6,-11,-17,,,
166,ponjuice,120,-14,-26,20,102,-46,4,0,46,-34,-34,,80,0,116,2,23,0,-24,-1,-56,32
167,Kyo_s_s,-1,-9,18,-74,,-68,,0,0,0,0,0,,-4,-10,,-36,-44,11,37,,-33
168,misty1999,132,-5,-18,-58,34,46,,,,,-43,,,,,,14,90,-8,,,-24
169,bit_zentansaku,0,0,49,55,0,0,-11,0,,0,,-11,-41,-23,-25,-5,-61,2,14,-36,-7,20
170,Taiki0715,,,,,,,12,0,83,-34,-20,22,0,122,-6,,29,63,60,4,-84,46
171,chiara_kyokkou,,,,,,,,0,-1,-26,-14,,,-27,,,11,,-37,,,
172,wattaihei,0,,0,,0,-53,,-30,-38,33,,0,,,,,,,-8,,,
173,redoCtA,32,20,0,24,,,27,,6,,0,17,0,,,,18,1,90,29,28,17
174,tomerun,-12,,-14,19,-22,-19,-21,,-12,-47,,-27,14,-35,11,,-11,14,-46,-48,-5,-33
175,rs02,19,,,-44,10,48,-44,-6,-44,-51,12,18,-11,,,31,,0,-20,-4,-55,-41
176,mikam,0,,21,,-1,,0,0,-24,0,-41,0,0,-31,0,-1,-20,0,26,-35,0,0
177,carpenter_bee,23,9,-16,13,10,-35,21,19,-9,45,-14,24,-10,,,13,5,,17,,-8,
178,houren,28,-7,-37,-3,35,42,-6,0,,-22,-23,-26,36,-6,-2,,-9,-25,3,38,-37,-22
179,DFNasutarou,-22,-8,1,2,-33,21,15,-22,4,-17,,-37,-3,33,28,-27,-22,56,-6,-5,-91,14
180,w24nishi,26,37,12,6,-11,12,67,5,-25,-66,-59,-71,27,91,46,-65,-5,-45,63,-27,-68,
181,tardigrade,-7,2,25,52,-20,35,30,-33,-14,,-37,-20,73,-35,20,50,-4,0,12,-1,36,-6
182,azusa300,,,,,,,,0,,,,263,,138,,3,64,10,37,-88,-7,34
183,yehara,22,25,,8,9,40,19,-21,31,,,-33,-2,-8,18,-7,18,-23,-8,1,-21,25
184,sepa_38,-71,0,-31,0,26,-1,7,25,4,15,-76,-23,41,-18,,-73,-3,-43,37,26,,
185,wanui,23,18,55,20,-34,-27,-20,0,0,0,0,0,-10,-9,,0,-24,-11,2,-17,-9,-33
186,hmmnrst,,,58,29,-27,-52,,-18,-20,-27,,-60,40,38,-11,64,-61,-25,30,4,10,-11
187,ococonomy1,69,88,92,-2,44,-1,-19,,-16,,,,-36,-3,34,90,3,11,29,18,-80,13
188,tayu0110,-30,27,-1,106,0,31,50,-1,-11,-8,-26,-24,-21,-31,-21,43,-51,-19,20,-1,-21,-33
189,arad,-33,-79,-6,-32,-14,33,18,0,-45,-18,-17,-12,0,48,0,,,-33,-5,-24,-1,29
190,deuteridayo,-51,,,0,0,,,,,,,,,,,-22,-13,,8,-31,31,0
191,YuunagiAsakaze,,2,-21,-13,,-22,-25,,-22,7,-26,,10,7,-34,-71,1,-6,35,,,
192,mmz,,,,,,,,,,,,,,,,,441,31,161,29,-8,
193,Rice_tawara459,,,,,,,,,,,,,,542,91,63,-29,4,22,17,25,
194,hir35,49,69,85,-8,-51,21,0,10,-27,-35,-7,0,56,-4,107,-21,0,-24,-33,-18,-5,68
195,BinomialSheep,55,17,8,31,-27,12,10,15,-16,19,-31,0,30,-12,-10,63,20,12,25,,-4,16
196,tomu106,-7,,29,,,,,,,,,,11,,22,8,27,,52,,33,
197,DUXY,,,129,,115,,0,-22,,7,50,13,,116,67,66,-15,12,40,64,108,12
198,toropippi,-22,20,42,0,-48,,-17,,,,,,-18,-3,,0,,-25,7,-18,,
199,yupooh,53,30,-26,18,15,-44,-2,-46,34,-25,-24,-3,-21,4,-1,40,5,17,-5,-16,-15,-30
200,CertainPrinceHtl,,,,,,,,,,569,132,57,82,2,31,33,13,-4,-21,-18,-44,-50
201,hamamu,37,20,12,-24,5,27,23,39,6,-42,-11,-23,75,-12,-22,27,6,-50,-34,4,-7,1
202,Hydru1,-15,,,,-39,,,,,,,0,0,-36,-8,-59,52,19,29,-33,,
203,achapi,18,41,-10,13,25,-31,0,-36,-13,12,30,-30,0,0,0,0,-20,-16,62,-27,-8,
204,berry,-6,3,-5,3,-6,9,-62,12,0,4,0,-21,,0,65,19,-4,-11,38,7,-7,-5
205,s0fa,,,,,,,,,,,,,,,,,,,8,,,
206,cutmdo,6,81,-41,17,16,19,87,-13,-2,33,-20,0,-21,31,,,,-28,-23,-13,11,-10
207,hushojin,43,-18,-38,-49,-8,39,40,20,1,-2,-9,,,-18,,48,8,4,26,-9,,
208,hotpepsi,21,38,-17,-24,-59,3,60,16,-42,-24,-6,-38,-7,-36,40,-31,-16,6,21,-6,-79,-31
209,ygussany,4,-7,-44,58,59,46,15,-13,37,16,-25,-33,15,-52,-36,-4,56,,-54,-17,-7,
210,Qlion,27,,57,,-30,,,,,,,,,2,,,,8,32,-16,24,
211,sirosin,6,2,51,93,63,56,-15,-9,-67,,,,66,32,147,22,-12,34,60,24,34,19
212,sakikuroe,,,,,,,818,105,-62,-26,-56,-45,37,27,-29,49,-49,-19,9,9,-78,18
213,T_Stream,26,-20,-3,7,,-7,,5,42,5,95,-21,-40,51,-24,-25,45,15,-17,-16,,
214,blueberry1001,,,38,73,,-15,52,,,-20,-9,,,78,39,-27,9,17,142,90,2,16
215,hiixryo,,,,,,,,,,,,,,,,136,34,9,109,13,63,60
216,jinya,19,3,17,38,-39,-47,-47,0,-17,,0,-5,17,13,-17,0,15,5,28,-1,44,-31
217,hyouchun,-1,0,,0,,,0,,,19,-2,8,-29,0,-26,12,0,-28,35,-10,-6,22
218,mn_7545,-14,11,-11,4,-15,18,-42,30,-28,26,-27,62,85,43,-7,-1,26,-45,-7,-59,21,8
219,null0124,-34,0,-17,-33,0,0,,,,,,,,,,,,,15,10,6,57
220,Ryo_Fujita,-39,1,5,50,53,,,-23,23,2,-30,-13,57,-10,1,95,-79,-20,57,17,-8,
221,aplysia,43,-9,,70,1,10,21,9,-30,-16,11,-27,21,-55,39,61,7,19,23,21,19,-32
222,cirno3153,-19,-26,-26,-15,26,-13,62,-12,-26,51,6,-45,-9,-11,-32,-6,-5,-23,-35,-11,-9,-44
223,tarattata,81,-25,-62,-36,-22,,-53,,,17,-50,,,,,,37,-15,-15,11,26,2
224,sanopi,,,,-11,-31,,,,,,,,,-26,,-72,,7,26,,-80,
225,abUma,0,-23,78,47,2,48,29,16,17,-62,-54,,-2,82,0,16,8,0,33,12,5,30
226,coindarw,,,,,,,,36,-23,,,,,,,,19,-26,0,-21,-82,0
227,MaudPie,,,318,107,8,182,23,0,,-31,35,0,126,-8,51,76,-31,-4,18,-39,-1,-3
228,tt829,42,-21,-22,49,37,-60,-42,3,-20,15,-18,27,17,16,6,-69,-44,19,33,-31,-71,22
229,haruharuwild,51,90,23,59,-3,51,27,-11,41,32,-19,-6,-3,28,25,61,-31,-48,-6,15,-25,-46
230,startcpp,-45,-13,-7,-69,-8,15,-54,-25,-55,-38,,-32,,-56,-24,-8,-14,-49,-24,29,-5,-45
231,Capo,-15,,0,-62,16,-19,0,-63,,-4,3,-14,,-13,-45,-38,0,,-13,-3,,
232,md700,,,,,,,,,,,,,,131,119,170,124,64,51,,,
233,denkimisoshiru,,,,,,,,,,-3,-36,,,,,,,,-3,,-32,38
234,cottoncotton,14,28,-3,19,-3,-8,-36,13,-61,-37,2,0,0,17,52,-37,21,8,-31,20,7,-22
235,merhorn,58,5,-28,-11,77,17,25,23,-30,37,8,-28,2,-28,49,-26,16,-28,13,-4,,
236,beta,-32,-36,-40,25,,-29,7,-32,-17,40,-18,25,26,5,13,-25,-43,-16,-12,-40,0,-30
237,ochiaigawa,0,22,,0,69,0,0,-31,43,77,19,0,0,-25,16,2,11,0,2,,0,0
238,te1229,,,,,,,,,,,,,,,,-41,47,9,93,,,
239,HalMat,-53,14,4,-6,-12,-9,-23,29,-6,-59,30,-14,102,61,2,43,-30,-26,74,17,-59,-24
240,yatuba,50,8,61,-60,-36,-30,9,17,10,-36,-47,-21,,25,19,31,-11,-1,-41,-1,,-57
241,QiToY,-27,24,-32,-29,-17,3,-17,36,-18,0,-77,3,-15,-5,-34,-14,32,-23,3,2,11,-5
242,uuuu_s,26,50,-29,,-18,26,,,,9,,-27,,-1,49,-69,,-8,41,-13,33,
243,asaringo,13,22,-10,-17,27,,,19,13,10,-78,-15,-27,,-36,,15,-16,13,-25,,30
244,Karoshu,-12,12,-47,,-24,,-17,,-12,,,43,,,50,,,,52,,52,
245,hotaosa,-36,,12,60,-16,-14,-38,-31,-16,-34,,,-15,-2,16,16,,-31,-11,-41,31,-3
246,hissy8398,,,,,71,,,55,,,0,53,77,0,21,27,44,-19,66,-11,,
247,shurunner,,52,,0,5,62,17,,,-36,-27,-45,68,40,,-26,,14,144,,,
248,deepjuggling,67,9,-66,22,-5,67,14,51,-8,-51,-43,,103,56,43,-44,29,23,87,9,-55,
249,nyya,-5,-2,60,6,49,-23,43,-1,0,-2,-14,22,2,30,-7,39,-19,-17,32,11,-26,-6
250,yoyuuhi,,,,,,,46,,-21,,,,,,,,,,60,,,
251,someone_,0,,0,0,0,0,0,0,0,42,2,-23,-13,-37,0,23,0,-39,-26,8,0,-49
252,hakumof,,,,,,,,,,,,,,,,,-8,,66,9,,
253,Yuuki1223,,,,,21,-27,97,62,-15,-37,-12,-14,-19,-13,-6,-69,-21,-6,28,3,0,-57
254,ds14050,31,2,-20,-33,-45,-79,1,-16,-27,-30,-20,-17,14,36,-6,-68,-35,-3,44,25,-19,-51
255,Yoyoyo8128,,,,,,,27,3,-1,-5,-1,64,77,72,-7,-38,20,16,78,79,5,0
256,masa1031,,,,,,,,,,,,14,,,-10,-42,36,-17,101,-11,-65,2
257,negulo,,,,,,,,,,,,,,,352,158,-20,123,85,38,,-28
